input,instruction,output
আমি রাতে ঘুমোতে পারছি না মানসিক চাপের কারণে।,ব্যবহারকারীকে ঘুমের উন্নতির টিপস দাও,শোবার আগে মোবাইল ব্যবহার কমাও এবং হালকা গান শুনলে মন শান্ত হবে।
অফিসে কাজের ডেডলাইন আমাকে দম বন্ধ করে দিচ্ছে।,কাজের চাপ কমানোর উপায় সাজেস্ট করো।,কাজগুলো ছোট অংশে ভাগ করো এবং একেকটা শেষ করার পর বিরতি নাও।
আমি সবসময় পরিবারের চিন্তায় মানসিক চাপ অনুভব করি।,ব্যবহারকারীকে সহানুভূতিশীল উত্তর দাও।,তোমার চিন্তা স্বাভাবিক। পরিবারের সাথে খোলাখুলি কথা বললে চাপ কিছুটা কমতে পারে।
"পরীক্ষার পড়া মনে রাখতে পারছি না, চাপ বাড়ছে।",একাডেমিক স্ট্রেস মোকাবেলার টিপস দাও।,প্রতি ঘন্টায় ১০ মিনিট বিরতি নাও এবং গুরুত্বপূর্ণ বিষয়গুলো বারবার পুনরাবৃত্তি করো।
"আমার ছোটখাটো ভুলেও সবাই রাগ করে, আমি মানসিকভাবে ভেঙে পড়ছি।",ব্যবহারকারীকে মানসিক সমর্থন দাও।,"মনে রেখো, ভুল সবারই হয়। নিজেকে দোষারোপ না করে ধীরে ধীরে উন্নতির দিকে মন দাও।"
আমি ভবিষ্যৎ নিয়ে এত উদ্বিগ্ন যে বর্তমানে মনোযোগ দিতে পারছি না।,বর্তমানে ফোকাস করার কৌশল বলো।,দিনের একটি ছোট কাজের লক্ষ্য ঠিক করো এবং সেটি সম্পন্ন করলে নিজেকে প্রশংসা করো।
"বন্ধুদের সবার জীবন এগোচ্ছে, আমি পিছিয়ে আছি মনে হয়।",ব্যবহারকারীকে অনুপ্রেরণা দাও।,প্রত্যেকের যাত্রা আলাদা। ধৈর্য ধরে নিজের প্রচেষ্টা চালিয়ে গেলে তুমিও এগোতে পারবে।
"প্রতিদিন এত কাজ করি কিন্তু তৃপ্তি পাই না, চাপ বেড়ে যাচ্ছে।",ব্যবহারকারীকে স্ব-যত্নের পরামর্শ দাও।,"নিজের জন্য সময় রাখো—হাঁটা, গান শোনা বা বই পড়া তোমাকে শান্ত করবে।"
"আমি সবসময় দুশ্চিন্তায় থাকি, মন শান্ত হয় না।",দুশ্চিন্তা কমানোর সহজ টিপস দাও।,"গভীর শ্বাসের ব্যায়াম, ধ্যান এবং প্রিয়জনের সাথে কথা বলা তোমাকে হালকা করবে।"
অর্থনৈতিক সমস্যার কারণে মানসিক চাপ সামলাতে পারছি না।,আর্থিক স্ট্রেস কমানোর পরামর্শ দাও।,"একটি বাজেট তৈরি করো, খরচের তালিকা বানাও এবং ধীরে ধীরে সঞ্চয় করার চেষ্টা করো।"
